Year,Position,Player Name,Team
2005,RB,Shaun Alexander,Seattle Seahawks
2006,RB,LaDainian Tomlinson,San Diego Chargers
2007,QB,Tom Brady,New England Patriots
2008,QB,Peyton Manning,Indianapolis Colts
2009,QB,Peyton Manning,Indianapolis Colts
2010,QB,Tom Brady,New England Patriots
2011,QB,Aaron Rodgers,Green Bay Packers
2012,RB,Adrian Peterson,Minnesota Vikings
2013,QB,Peyton Manning,Denver Broncos
2014,QB,Aaron Rodgers,Green Bay Packers
2015,QB,Cam Newton,Carolina Panthers
2016,QB,Matt Ryan,Atlanta Falcons
2017,QB,Tom Brady,New England Patriots
2018,QB,Patrick Mahomes,Kansas City Chiefs
2019,QB,Lamar Jackson,Baltimore Ravens
2020,QB,Aaron Rodgers,Green Bay Packers
2021,QB,Aaron Rodgers,Green Bay Packers
2022,QB,Patrick Mahomes,Kansas City Chiefs
2023,QB,Lamar Jackson,Baltimore Ravens
2024,QB,Josh Allen,Buffalo Bills
2025,QB,Matthew Stafford,Los Angeles Rams
