season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2010,ARI,REG,16,285,561,3264,10,19,50,-353,11,5,5234,1080,154,-166.621911901595,-9.67380448363045,1,320,1388,9,7,5,74,-40.1192959049256,0,285,553,3264,10,4,1,5234,1080,154,-85.1892860262305,1,2,773,125,195,0,0,13,33,227,67,17,424,81,3,8,0,15,15,17,13,13,7,108,870,70,42,294,84,2084,24,27,3,0,55,0.888888888888889,0,8,6,8,2,0,0,0,0,2,1,0,22;42;53;37;44;29;24;22;23;36;29;31;39;45;41;36;48;55;23;49;23;30;49;48,54;49;49,,878,152,0,29,29,0,0,1,0,0,0,0,
2010,ATL,REG,16,361,577,3725,28,9,23,-158,3,2,4790,1366,201,97.5988636421192,0.430287082086905,2,497,1891,14,4,3,114,-42.4645192242351,0,361,573,3725,28,3,1,4790,1366,201,133.158062129794,2,2,660,114,198,0,0,14,31,221,54,22,337,71,2,1,0,0,3,4,9,9,1,58,598,56,19,230,46,1221,28,31,2,1,51,0.903225806451613,0,11,8,8,1,0,0,0,0,2,0,0,49;39;23;24;35;23;46;37;31;43;24;30;26;45;31;41;28;51;42;29;24;21;38;47;39;27;25;47,46;41,30,965,87,30,44,44,0,0,1,3,3,0,0,46;43;47
2010,BAL,REG,16,308,491,3629,25,10,40,-294,7,2,4435,1521,176,47.8161459529768,2.90811089836821,0,487,1831,11,6,5,103,-46.9737568756432,0,308,491,3629,25,3,1,4435,1521,176,114.365608420335,0,1,585,193,241,0,0,15,27,190,63,19,289,83,3,4,0,0,9,12,8,8,0,90,673,53,43,319,55,1357,26,29,3,0,49,0.896551724137931,0,11,8,7,0,0,0,0,1,1,1,0,25;38;49;33;37;26;25;41;48;38;26;39;20;24;22;33;49;45;24;33;32;27;27;40;25;47,51;46;37,,873,134,0,39,39,0,0,1,1,1,0,0,38
2010,BUF,REG,16,296,519,3363,24,21,34,-213,5,4,4511,1358,168,-36.7557298119019,-1.87038528582273,0,401,1720,6,12,5,89,-47.7453429612084,0,296,513,3363,24,8,5,4511,1358,168,12.3076532547228,0,1,579,300,426,0,0,15,27,181,54,11,210,80,2,6,0,3,9,10,11,11,1,82,633,53,32,336,69,1458,16,21,5,0,51,0.761904761904762,1,6,5,2,2,0,0,0,1,1,2,1,51;39;39;34;29;22;21;50;43;29;32;49;30;19;29;26,63;51;53;41;33,,542,241,0,31,32,0,1,0.96875,0,0,0,0,
2010,CAR,REG,16,256,484,2635,9,21,50,-346,5,2,3485,1292,125,-158.053663723237,-7.78448659703773,0,428,1846,7,16,9,90,-85.8268189799104,0,256,468,2635,9,2,2,3485,1290,125,-62.6388594838045,0,0,738,116,234,0,0,14,31,224,75,17,285,71,1,4,1,0,15,22,12,12,0,106,918,66,39,373,74,1619,25,29,4,0,55,0.862068965517241,0,9,2,11,3,0,0,0,0,3,1,0,21;52;43;24;53;47;55;37;44;20;46;28;48;45;40;43;42;43;36;28;29;24;43;27;23,51;40;46;42,,941,179,0,17,17,0,0,1,1,2,1,0,37;42
2010,CHI,REG,16,276,466,3397,23,21,56,-382,9,5,4141,1489,163,-42.2707602672531,0.658929302242761,1,414,1616,10,1,1,78,-36.9241339335611,0,276,457,3397,23,7,4,4141,1489,163,44.249791413973,1,3,715,86,188,0,0,23,34,232,71,21,332,81,1,0,0,0,8,8,14,14,0,91,768,50,33,564,59,1497,25,30,5,0,54,0.833333333333333,1,9,8,4,3,0,0,0,1,3,1,0,20;31;38;40;25;19;40;28;53;43;34;24;34;37;47;24;50;23;54;29;23;34;20;37;30,49;54;42;43;35,,837,223,0,35,35,0,0,1,1,1,0,0,19
2010,CIN,REG,16,365,590,3988,26,20,28,-221,2,1,4951,1663,206,33.5185659997056,0.925444294394491,1,428,1522,8,11,7,90,-75.9538312202821,1,365,586,3988,26,4,3,4951,1663,206,60.5726973802645,1,0,600,101,325,0,0,12,27,179,80,16,200,69,1,1,0,0,7,10,10,10,1,90,720,70,36,258,71,1551,24,31,6,1,54,0.774193548387097,1,10,9,2,2,0,0,2,0,2,2,0,54;36;30;46;38;25;33;50;24;25;31;35;20;33;27;19;28;29;23;47;25;39;34;20,53;51;45;43;27;29,44,771,248,44,30,32,2,0,0.9375,0,0,0,0,
2010,CLE,REG,16,296,478,3203,13,18,35,-214,3,1,3903,1485,154,-32.4430265240927,2.11288891732693,0,414,1647,13,14,6,91,-47.3363519200191,0,296,468,3203,13,4,3,3903,1485,154,18.5585677558343,0,0,654,198,278,0,0,9,29,178,76,19,320,81,2,5,0,0,18,19,9,9,1,79,680,60,22,235,70,1191,23,28,5,0,48,0.821428571428571,3,7,10,3,0,0,0,0,0,2,2,1,38;30;31;22;19;39;23;21;48;38;37;34;23;38;41;41;32;23;19;25;23;30;19,62;42;51;51;47,,694,253,0,28,28,0,0,1,1,1,0,0,23
2010,DAL,REG,16,379,576,4208,29,19,31,-166,4,1,3912,2279,202,42.930672533705,2.42996610371411,2,428,1786,10,5,2,114,-18.24421086189,0,379,568,4208,29,8,5,3912,2267,202,78.3161163391031,2,3,675,109,197,0,0,14,35,257,68,20,302,63,3,6,0,0,15,21,10,10,1,109,873,71,24,382,74,1572,24,32,8,0,53,0.75,0,8,4,8,4,0,0,0,3,3,2,0,28;48;49;40;51;26;26;41;34;22;23;21;53;30;46;38;50;43;42;20;20;39;42;53,34;44;44;34;59;48;35;52,,885,350,0,42,44,1,1,0.954545454545455,1,1,0,0,38
2010,DEN,REG,16,334,580,4306,25,12,40,-268,1,1,5563,1728,205,41.1583132718412,-2.37437929018682,0,398,1544,13,13,8,88,-61.4395967119186,0,334,577,4306,25,5,1,5563,1718,205,95.2042945953623,0,1,745,117,177,0,0,13,23,156,60,10,118,77,0,5,0,0,12,16,8,8,1,98,944,70,31,323,59,1435,22,25,3,0,59,0.88,0,4,10,6,2,0,0,0,0,2,1,0,54;20;25;34;36;36;35;36;38;59;48;32;49;40;25;41;32;30;46;35;45;27,49;58;40,,823,147,0,38,39,1,0,0.974358974358974,0,0,0,0,
